Author_id,Isbn
0,9780007101955
0,9780330328913
0,9780333493403
0,9780349101712
0,9780373832323
0,9780425121641
0,9780440142324
0,9780515120622
0,9780553247923
0,9780553279917
0,9780590483551
0,9780590687249
0,9780671533786
0,9780671724801
0,9780785335924
0,9780861128273
0,9780880384438
0,9780880841108
0,9781555472412
0,9781555781026
0,9781556610356
0,9781568652894
0,9781569871218
0,9781878734600
0,9782266002998
0,9782890377745
0,9782894294246
0,9783817132355
1,9780195153445
1,9780195153446
2,9780195153445
2,9780195153446
3,9780002005012
4,9780060973124
5,9780374157067
6,9780393045215
7,9780393045215
8,9780151000630
8,9780395926840
8,9780399135781
8,9780399141140
8,9780399146435
8,9780399146855
8,9780399150746
8,9780679727682
8,9780679748083
8,9780804106306
8,9780804107532
8,9780804111096
8,9780804114981
8,9781400002870
8,9783442096480
9,9780425176429
10,9780374184230
10,9780374281601
10,9780374281946
10,9780446350983
10,9780446351706
10,9780446359863
10,9780446360586
10,9780446365505
10,9780446612623
10,9780671870430
10,9780762102549
11,9780671870430
12,9780156005494
12,9780679425601
13,9780679731948
13,9780743226783
14,9780771074677
15,9780786010578
15,9780786011384
15,9780806512310
15,9780806521213
15,9780821766064
15,9780821766439
15,9781575664552
16,9780887841743
17,9781552041772
18,9780439078412
18,9780757300004
18,9780757300240
18,9780757300424
18,9780757300615
18,9781558742628
18,9781558743311
18,9781558743540
18,9781558743793
18,9781558744028
18,9781558744158
18,9781558744592
18,9781558744608
18,9781558744639
18,9781558745018
18,9781558745049
18,9781558745629
18,9781558745711
18,9781558746091
18,9781558746169
18,9781558746213
18,9781558746220
18,9781558746466
18,9781558746589
18,9781558746626
18,9781558746985
18,9781558747029
18,9781558747067
18,9781558747104
18,9781558747142
18,9781558747159
18,9781558747616
18,9781558747692
18,9781558747968
18,9781558748002
18,9781558748040
18,9781558748866
18,9781558748903
18,9781558749207
18,9781885223333
19,9780609609491
19,9780757300004
19,9780757300240
19,9780757300424
19,9780757300615
19,9781558742628
19,9781558743311
19,9781558743540
19,9781558743793
19,9781558744028
19,9781558744158
19,9781558744592
19,9781558744608
19,9781558744639
19,9781558745018
19,9781558745049
19,9781558745629
19,9781558745711
19,9781558746091
19,9781558746169
19,9781558746213
19,9781558746220
19,9781558746466
19,9781558746589
19,9781558746626
19,9781558746985
19,9781558747029
19,9781558747067
19,9781558747104
19,9781558747142
19,9781558747159
19,9781558747470
19,9781558747616
19,9781558747692
19,9781558747968
19,9781558748002
19,9781558748040
19,9781558748866
19,9781558748903
19,9781558749207
20,9781558744158
20,9781558744608
20,9781558745049
20,9781558746213
20,9781558746220
20,9781558747067
21,9780446605960
21,9781558021259
21,9781567407785
22,9781567407785
23,9781575663937
24,9781881320180
25,9780099244929
25,9780099245025
25,9780099993803
25,9780375433467
25,9780385416344
25,9780385421980
25,9780385424714
25,9780385424721
25,9780385424738
25,9780385470810
25,9780385472944
25,9780385472951
25,9780385490993
25,9780385493802
25,9780385497466
25,9780385501200
25,9780385503822
25,9780385505833
25,9780385508049
25,9780385508414
25,9780385510431
25,9780385511612
25,9780440211457
25,9780440211723
25,9780440213529
25,9780440214045
25,9780440220602
25,9780440221470
25,9780440221654
25,9780440224761
25,9780440225706
25,9780440234746
25,9780440236672
25,9780440237228
25,9780440241072
25,9780440241539
25,9780440295525
25,9780440295556
25,9780739302217
25,9780739306512
25,9783453061187
25,9783453071179
25,9783453075658
25,9783453127012
25,9783453136410
25,9783453169241
25,9783453869806
25,9783455024944
26,9780140283402
26,9780195101409
26,9780375402739
26,9780375411557
26,9780375415357
26,9780394423296
26,9780394497846
26,9780452260115
26,9780452264465
26,9780452264793
26,9780452280397
26,9780452280625
26,9780452282193
26,9780452283862
26,9780679433743
26,9780679745426
26,9780940322585
26,9781400076215
26,9783499228544
27,9780609804612
27,9780609808344
28,9780609804612
29,9780609804612
30,9781841721521
31,9781841721521
32,9781841721521
33,9781879384491
34,9780060093419
34,9780060528126
34,9780061076039
35,9780060528126
35,9780061076039
36,9780439095020
37,9780689821165
37,9780689835551
37,9780689842702
38,9780689821165
38,9780821746219
39,9780689821165
40,9780971880108
41,9780060502300
41,9780061015724
41,9780066214122
41,9780345353146
41,9780345354617
41,9780345354624
41,9780345354648
41,9780345359322
41,9780345370778
41,9780345378484
41,9780345378491
41,9780345380371
41,9780345390929
41,9780345391056
41,9780345402875
41,9780345402882
41,9780345417626
41,9780394588162
41,9780394589428
41,9780451183668
41,9780451210630
41,9780517084793
41,9780553024241
41,9780613072106
41,9780679419457
41,9780679431138
41,9780679444817
41,9780679446484
41,9780679455400
41,9780752999951
41,9783426600214
42,9780020868903
42,9780020869009
42,9780156329309
42,9780156904360
42,9780553274868
42,9780684823775
42,9780684823805
42,9780743234900
43,9780375507878
43,9780375759772
44,9780425163092
45,9780140252521
45,9780679870425
45,9780771099724
45,9783404921034
46,9783404921034
47,9783404921034
47,9783442435364
47,9783442439041
47,9783442724680
47,9783442730063
48,9783442350483
48,9783442353866
49,9783442353866
50,9783442410668
50,9783442426034
50,9783442442546
51,9780345300201
51,9780345311399
51,9780345334015
51,9780345381842
51,9780345386137
51,9780345404763
51,9780345404770
51,9780345404787
51,9780345404794
51,9780345407610
51,9780679420644
51,9780679429883
51,9780679429890
51,9780679450405
51,9780679450436
51,9780679450443
51,9780679766667
51,9783442446933
52,9783442441181
52,9783442446780
52,9783442446933
52,9783548245898
53,9780375406324
53,9780375413087
53,9780375706066
53,9780375727610
53,9780679735465
53,9780679759263
53,9780679767787
54,9780060194994
54,9780060935467
54,9780435120962
54,9780446310499
54,9780446310789
54,9783499142819
55,9780345465085
55,9780375502910
55,9780449005613
56,9780060158637
56,9780060168018
56,9780060175405
56,9780060175795
